w_viirs,w_modis,w_landsat,p_85,r_85,f1_85,p_60,r_60,f1_60,p_40,r_40,f1_40
0.05,0.35,0.25,1.0,0.0454217597650915,0.0868965263843329,0.9999107245341734,0.167308283255941,0.2866528828171702,0.9996742644484076,0.26196522466539196,0.41514219479985864
0.05,0.35,0.3,1.0,0.04731886779568424,0.09036191221356937,0.9999118421218341,0.1694294591641628,0.2897606069951151,0.9996758325026541,0.26323280865883636,0.4167324041682362
0.05,0.35,0.35,1.0,0.048883074979513795,0.0932097697933939,0.9999124978124453,0.17069917713739416,0.29161547631633633,0.9996779751074758,0.26498480606391694,0.41892507363087056
0.05,0.35,0.4,1.0,0.05038966470909587,0.09594470776338271,0.9999130531990212,0.17178964080852227,0.29320527319314466,0.9996797053289026,0.266416706500956,0.420712628455601
0.05,0.35,0.45,1.0,0.052005087407812074,0.0988685093452446,0.9999136985119158,0.17307429664026222,0.2950743925532863,0.9996798719487795,0.26655541518710735,0.42088557478797356
0.05,0.35,0.5,1.0,0.05328120732040426,0.10117185600596464,0.9999146018616795,0.1749052512974597,0.2977312891748111,0.9996807839945094,0.26731724597104617,0.42183477433639494
0.05,0.35,0.55,1.0,0.05456799713193117,0.10348881680524667,0.9999147017607993,0.17511011335700627,0.2980280493142028,0.9996807941840701,0.26732578189019396,0.42184540316103714
0.05,0.35,0.6,1.0,0.055370373531821906,0.10493069527150671,0.9999155252519157,0.17681729718656106,0.3004970324929779,0.9996823783509085,0.2686595192570336,0.42350440001076445
0.05,0.4,0.0,1.0,0.04979428434853865,0.09486484179029235,0.9998077741621013,0.1553900061458618,0.26897582183773244,0.9996703650104518,0.26533691272876264,0.4193643041680439
0.05,0.4,0.05,1.0,0.0561407402349085,0.1063129904872746,0.9998159855943008,0.16232544045342803,0.2793043369702711,0.9996815336098553,0.27464533255941,0.4309065037247845
0.05,0.4,0.1,1.0,0.0601035406992625,0.11339183087647679,0.9998207082025997,0.16660193594646272,0.28561185162422054,0.9996843944607379,0.277135686970773,0.433965952512627
0.05,0.4,0.15,1.0,0.06293319789674952,0.11841421082957403,0.9998241139741447,0.16982851338432123,0.29034029240886167,0.9996869105709683,0.279363561868342,0.4366928469330061
0.05,0.4,0.2,1.0,0.06526990576345261,0.12254153695757561,0.9998263867359466,0.17205212032231632,0.29358376104011497,0.9996894057043294,0.2816085086042065,0.4394310479460152
0.05,0.4,0.25,1.0,0.06734626809614859,0.12619385125368127,0.9998284755148797,0.17414768847309478,0.2966292216513488,0.9996915205778346,0.28353976031139033,0.4417789658829827
0.05,0.4,0.3,1.0,0.06920496449057635,0.12945125918593003,0.9998305310430814,0.1762603284621688,0.2996885085601186,0.9996928815946187,0.2847966744059,0.44330326669512227
0.05,0.4,0.35,1.0,0.07075209983611035,0.13215402490817377,0.9998317307692308,0.1775172425566785,0.3015034214799351,0.999694758784991,0.2865486718109806,0.44542300241488203
0.05,0.4,0.4,1.0,0.07224161772739689,0.13474876657093784,0.9998327779171295,0.17862904602567606,0.3031055765675893,0.9996962782979733,0.2879827062278066,0.44715374420145787
0.05,0.4,0.45,1.0,0.07381649481016116,0.13748437496894866,0.9998339599369048,0.17990089797869435,0.304934665641814,0.9996964222248549,0.288119280934171,0.447318375785205
0.05,0.4,0.5,1.0,0.07507127492488391,0.13965822857675964,0.9998356228719033,0.18172118273695712,0.30754562297527166,0.9996972225709496,0.2888811117181098,0.44823607126242304
0.05,0.4,0.55,1.0,0.07636660065555859,0.14189700908416833,0.9998358079422044,0.18192604479650368,0.30783896698527097,0.9996972382218284,0.2888960495766184,0.44825405444780697
0.05,0.45,0.0,1.0,0.07207089934444141,0.13445174081026154,0.9998277686194424,0.17343280524446872,0.2955915140008802,0.9996707012457131,0.2656079281617045,0.41970275578934946
0.05,0.45,0.05,1.0,0.0778646544659929,0.1444794652897667,0.999834229284581,0.1801932532095056,0.305354553377379,0.999681864738198,0.2749312858508604,0.43125841026705314
0.05,0.45,0.1,1.0,0.08156497541655286,0.15082769370400334,0.9998380360716806,0.18442920308658836,0.31141506935448715,0.9996847463361372,0.2774451140398798,0.4343452565888598
0.05,0.45,0.15,1.0,0.08436902485659656,0.1556094335463963,0.9998407625200468,0.1875874931712647,0.3159056074548045,0.999687237775574,0.2796559170991532,0.4370499818241848
0.05,0.45,0.2,1.0,0.08665024924883911,0.15948139580097132,0.9998426276683041,0.18981110010925978,0.3190528885214207,0.9996897159766001,0.28189019393608306,0.43977394734870867
0.05,0.45,0.25,1.0,0.08872020964217427,0.16298073436394392,0.9998443043183309,0.1918554527451516,0.3219360926150392,0.9996918150589685,0.28381077574433217,0.44210788754165664
0.05,0.45,0.3,1.0,0.09054049440043704,0.1660470103867438,0.9998460201713576,0.19399370049166895,0.3249411558650222,0.9996931734842022,0.28506768983884184,0.4436315452133224
0.05,0.45,0.35,1.0,0.09208336178639716,0.1686379721704943,0.9998469878464632,0.19522073886916144,0.32666076300115693,0.9996950471189391,0.2868196872439224,0.4457503876097536
0.05,0.45,0.4,1.0,0.09352379814258399,0.1710503206266563,0.9998478558542894,0.1963346763179459,0.32821881254169444,0.999696563769714,0.2882537216607484,0.44748040090968266
0.05,0.45,0.45,1.0,0.0950559956296094,0.17360937889748068,0.9998488365815472,0.19760866225075116,0.3299971669015703,0.9996967096697834,0.28839243034689976,0.4476475342502054
0.05,0.45,0.5,1.0,0.09633211554220159,0.17573527980535278,0.9998502193217075,0.19943321496858782,0.3325374770049708,0.9996975129663649,0.28915852909041245,0.4485699767111202
0.05,0.5,0.0,1.0,0.10471865610488937,0.1895842991809612,0.9998106844938768,0.18031915801693527,0.30553421210110593,0.9996662295863631,0.2684397193389784,0.4232298134556215
0.05,0.5,0.05,1.0,0.10956065624146408,0.19748475331234408,0.9998176180922852,0.1871756350723846,0.31532023812947574,0.9996774441287152,0.27777588090685607,0.4347497904204616
0.05,0.5,0.1,1.0,0.11317775198033324,0.20334174264440882,0.9998215958253424,0.191349699535646,0.32122258603024945,0.9996803409696324,0.28029397705544934,0.4378281260937536
0.05,0.5,0.15,1.0,0.11588577232996448,0.2077018548018504,0.9998244420549057,0.1944525061458618,0.3255833896088583,0.99968283455291,0.28249837817536194,0.44051305173942773
0.05,0.5,0.2,1.0,0.11817126468178094,0.211365232526184,0.9998264265567368,0.19667611308385688,0.3286946225668167,0.9996853107556288,0.284721985113357,0.4432120357498177
0.05,0.5,0.25,1.0,0.12014946394427752,0.21452398597095507,0.9998282082116475,0.19871619776017482,0.3315389216440229,0.9996874185985933,0.2866425669216061,0.44553570392040764
0.05,0.5,0.3,1.0,0.12195481084403169,0.21739701040594803,0.9998300186979432,0.20083310570882273,0.3344801114554605,0.9996887828445248,0.2878994810161158,0.4470526640179467
